"Country Name","Country Code","Year","average_value_DEC alternative conversion factor (LCU per US$)","average_value_Discrepancy in expenditure estimate of GDP (current LCU)","average_value_GDP (constant 2010 US$)","average_value_GDP (constant LCU)","average_value_GDP (current LCU)","average_value_GDP (current US$)","average_value_GDP deflator (base year varies by country)","average_value_GDP growth (annual %)","average_value_GDP per capita (constant 2010 US$)","average_value_GDP per capita (constant LCU)","average_value_GDP per capita (current LCU)","average_value_GDP per capita (current US$)","average_value_GDP per capita growth (annual %)","average_value_GDP per capita, PPP (constant 2017 international $)","average_value_GDP per capita, PPP (current international $)","average_value_GDP, PPP (constant 2017 international $)","average_value_GDP, PPP (current international $)","average_value_GDP: linked series (current LCU)","average_value_GNI (constant 2010 US$)","average_value_GNI (current LCU)","average_value_GNI (current US$)","average_value_GNI per capita (constant 2010 US$)","average_value_GNI per capita (current LCU)","average_value_GNI per capita, Atlas method (current US$)","average_value_GNI per capita, PPP (constant 2017 international $)","average_value_GNI per capita, PPP (current international $)","average_value_GNI, Atlas method (current US$)","average_value_GNI, PPP (constant 2017 international $)","average_value_GNI, PPP (current international $)","average_value_GNI: linked series (current LCU)","average_value_Gross domestic savings (% of GDP)","average_value_Gross domestic savings (current LCU)","average_value_Gross domestic savings (current US$)","average_value_Gross savings (% of GDP)","average_value_Gross savings (% of GNI)","average_value_Gross savings (current LCU)","average_value_Gross savings (current US$)","average_value_Gross value added at basic prices (GVA) (constant LCU)","average_value_Gross value added at basic prices (GVA) (current LCU)","average_value_Gross value added at basic prices (GVA) (current US$)","average_value_Net primary income (Net income from abroad) (current LCU)","average_value_Net primary income (Net income from abroad) (current US$)","average_value_Net secondary income (Net current transfers from abroad) (current LCU)","average_value_Net secondary income (Net current transfers from abroad) (current US$)","average_value_PPP conversion factor, GDP (LCU per international $)","average_value_PPP conversion factor, private consumption (LCU per international $)","average_value_Price level ratio of PPP conversion factor (GDP) to market exchange rate","average_value_Taxes less subsidies on products (constant LCU)","average_value_Taxes less subsidies on products (current LCU)","average_value_Taxes less subsidies on products (current US$)"
"Arab World","ARB","1988","","","822211133754.526","","","421921035099.97","","5.65065649354565","3936.10243000828","","","2019.82719930477","2.71479312202916","","","","","","","","456017152261.182","","","","","","","","","","17.4617871149271","","44236127705.0366","","20.4450698260375","","","","","449861580220.77","","","","","","","","","",""
"United Arab Emirates","ARE","1966","4.7619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","ATG","1962","1.7143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","ATG","1971","1.9749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burundi","BDI","2008","1185.6908","461000","1862084400.0601","1381681000000","1911139000000","1611835901.9063","138.319843726591","4.8617129950775","229.148482478209","170029.943008359","235185.151457574","198.352851736367","1.45655117316197","827.792314504817","636.332024089182","6726726438.06685","5170900206.2792","1911139000000","1857297907.68569","1906040529400","1607535901.77136","228.559455759573","234557.732635467","190","825.733743069779","630","1516886419.58533","6709998272.4943","5157105457.3482","1906040529400","-12.7910162473792","-244454100000","-206170192.093925","-1.50446287828129","-1.50848716823494","-28752376807.3563","-24249472.8029907","1265523000000","1753307000000","1478721939.98638","-5098470600","-4300000.13494243","390447991400","329300009.243557","369.595026738137","401.71499642714","0.311712823223506","116157992400","157832000000","133113961.91992"
"Belgium","BEL","2018","0.847186371112141","0","537421001894.33","436489300000","460370100000","543410654016.602","105.471107768277","1.78792007785043","47030.582151299","38197.8854742438","40287.7329537429","47554.7463078937","1.32564993365052","51110.9584679336","52662.5329289973","584047682404.834","601777607556.431","460370099999.998","542647780184.108","464910300000","548769805384.96","47487.9859834484","40685.0532079397","46060","51599.1058459612","53180","526306878016.723","589625768853.515","607712377633.436","464910299999.998","25.222619800895","116117400000","137062403220.164","24.7290590060688","24.4875610790507","113845193675.298","134380341277.03","389629400000","410567200000","484624415594.681","4490900000","5300958741.94079","-6664300000","-7866391891.13897","0.765017","0.843869","0.903009097036968","46910700000","49856600000","58849624710.7362"
"Belgium","BEL","1966","1.23946762084961","","156969015759.264","127489055263.832","23118405632","18651883472.4808","18.1336394596051","3.15589498173408","16474.8315912848","13380.7344401321","2426.41414042077","1957.62608042762","2.46146245343786","","","","","","","23296983040","18795959368.4511","","2445.15690126805","1950","","","18553179286.3821","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","BGR","1975","0.0012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","CAN","2017","1.29793584646039","-809000000","1872057348846.81","2071487142000","2140641000000","1649265644244.09","103.338367716501","3.03988022528195","51225.673478537","56682.7314432679","58575.009450601","45129.3564395662","1.81111454911982","48317.0965785817","48317.0965785817","1765762548007.76","1765762548007.76","2140641000000","1848833771031.66","2113418000000","1628291572163.23","50590.1996695242","57830.0982383642","42900","47702.6374889171","47700","1567757783782.14","1743306959310.54","1743306959310.54","2113418000000","21.3204362618487","456394000000","351630630469.63","19.845280989292","20.1009086428709","424816221421.99","327301401360.097","1936714016000","1995460000000","1537410346930.35","-27223000000","-20974072080.866","-4366000000","-3363802619.29474","1.212304","1.298456","0.934024592437356","","149108000000","114880870581.264"
"Switzerland","CHE","1972","3.8193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","CHL","2007","522.4642","0","202601172713.024","109930635090000","90702903280000","173605968179.255","82.5092142929418","4.90532450356156","12256.4252372384","6650290.2832216","5487102.260886","10502.3507082131","3.79032075476692","20346.7408564348","16941.8298335969","336335716051.779","280051852457.153","90702903280000","179502938760.32","80585926125900","154242005721.923","10859.089902193","4875072.36759553","8690","17993.3980825989","15050","143603828920.903","297434486978.375","248814945028.446","80585926125900","34.576057118356","31361487646100","60026098718.5342","25.2246566722852","28.3914289306921","22879495944174.9","43791509435.8138","101628249476100","83577187446300","159967300049.075","-10116977154100","-19363962457.332","1662177137500","3181418243.58492","323.878962","343.576454","0.619906516082824","8302385613900","7125715833700","13638668130.18"
