"Country Name","Country Code","Year","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_Incidence of tuberculosis (per 100,000 people)","average_value_Maternal mortality ratio (modeled estimate, per 100,000 live births)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received (% of gross capital formation)","average_value_Net ODA received (% of imports of goods, services and primary income)","average_value_Net ODA received per capita (current US$)","average_value_Net bilateral aid flows from DAC donors, Belgium (current US$)","average_value_Net bilateral aid flows from DAC donors, European Union institutions (current US$)","average_value_Net bilateral aid flows from DAC donors, Japan (current US$)","average_value_Net bilateral aid flows from DAC donors, Luxembourg (current US$)","average_value_Net bilateral aid flows from DAC donors, Netherlands (current US$)","average_value_Net bilateral aid flows from DAC donors, New Zealand (current US$)","average_value_Net bilateral aid flows from DAC donors, Norway (current US$)","average_value_Net bilateral aid flows from DAC donors, Poland (current US$)","average_value_Net bilateral aid flows from DAC donors, Portugal (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovenia (current US$)","average_value_Net bilateral aid flows from DAC donors, Sweden (current US$)","average_value_Net bilateral aid flows from DAC donors, Switzerland (current US$)","average_value_Net bilateral aid flows from DAC donors, Total (current US$)","average_value_Net bilateral aid flows from DAC donors, United Kingdom (current US$)","average_value_Net bilateral aid flows from DAC donors, United States (current US$)","average_value_Net migration","average_value_Net official aid received (constant 2018 US$)","average_value_Net official aid received (current US$)","average_value_Net official development assistance and official aid received (constant 2018 US$)","average_value_Net official development assistance and official aid received (current US$)","average_value_Net official development assistance received (constant 2018 US$)","average_value_Net official development assistance received (current US$)","average_value_Net official flows from UN agencies, FAO (current US$)","average_value_Net official flows from UN agencies, IAEA (current US$)","average_value_Net official flows from UN agencies, IFAD (current US$)","average_value_Net official flows from UN agencies, ILO (current US$)","average_value_Net official flows from UN agencies, UNAIDS (current US$)","average_value_Net official flows from UN agencies, UNDP (current US$)","average_value_Net official flows from UN agencies, UNFPA (current US$)","average_value_Net official flows from UN agencies, UNHCR (current US$)","average_value_Net official flows from UN agencies, UNICEF (current US$)","average_value_Net official flows from UN agencies, UNPBF (current US$)","average_value_Net official flows from UN agencies, UNTA (current US$)","average_value_Net official flows from UN agencies, WFP (current US$)","average_value_Net official flows from UN agencies, WHO (current US$)","average_value_Pregnant women receiving prenatal care (%)","average_value_Prevalence of HIV, total (% of population ages 15-49)","average_value_Primary completion rate, total (% of relevant age group)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
"Africa Eastern and Southern","AFE","1987","","","","183.560533538606","4.50792596312867","23.3562314273942","17.8657114416993","27.0812634053436","203980003.075675","454010002.25544","412499998.413026","","359749996.464699","479999.991133809","240970000.531524","","","","","307819997.936487","88469999.1513045","5356970005.81212","297000001.341104","497000000","-147864","","","13733100020.6471","7560669958.11463","13733100020.6471","7560669958.11463","","","74130000.660196","","","125820000.290871","11700000.025332","154420002.967119","86899999.5402992","","31530000.0309944","197430002.689362","","","","","","",""
"Albania","ALB","1977","","","","","","","","","","","","","","","","","","","","","","","","","-99","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","ALB","2019","149840000","16","","9.7","0.188334337590827","","0.373939967119218","9.95378369822205","29999.9993294477","71980003.3569336","-1129999.99523163","189999.997615814","109999.999403954","","1360000.01430511","289999.99165535","","509999.990463257","319999.992847443","13510000.2288818","30610000.6103516","213360005.920753","3519999.98092651","17040000.9155273","","","","31409999.8474121","28409999.8474121","31409999.8474121","28409999.8474121","359183.28166008","157039.016485214","-1542000.05531311","442380.011081696","","538089.990615845","783304.691314697","68492.7776455879","2605000.01907349","","","","382119.864225388","","0.1","103.322746276855","1.018630027771","102990000","51.2000007629394"
"Armenia","ARM","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","",""
"Azerbaijan","AZE","2013","106280000","78","28","30.4","-0.101132665852332","-0.372220121758421","-0.287345138017569","-7.5216628057718","","17379999.1607666","42849998.4741211","9999.99977648258","59999.9986588955","","1970000.02861023","300000.011920929","","39999.9991059303","","870000.004768372","5679999.82833862","118179998.11098","4139999.8664856","33130001.0681152","","","","-73010002.1362305","-70830001.8310547","-73010002.1362305","-70830001.8310547","692265.808582306","200000.002980232","7800000.19073486","148134.917020798","100831.791758537","1102743.98326874","726736.009120941","","1063733.45851898","","","","223254.36770916","","0.1","88.0894088745117","","39920000","56.4300003051757"
"Azerbaijan","AZE","2015","62390000","71","27","26.3","0.136306711474367","0.469660657707806","0.320165320110577","7.2108553144774","","27450000.7629395","21309999.4659424","0","39999.9991059303","","939999.997615814","129999.995231628","0","9999.99977648258","","1110000.01430511","1750000","89109999.5616824","3740000.00953674","13399999.6185303","","","","73309997.5585938","69580001.8310547","73309997.5585938","69580001.8310547","","376350.522041321","284215.986728668","79049.9970316887","","607991.993427277","591252.446174622","","930934.250354767","","","","361199.408769608","","0.1","103.280212402344","","29850000","55.3199996948243"
"Burkina Faso","BFA","1993","227300000","","","197.4","14.7441266828306","75.3263900234551","","49.0961859022658","3519999.98092651","82540000.9155273","6880000.11444092","560000.002384186","27209999.0844727","","790000.021457672","","","","","709999.978542328","7389999.8664856","337280002.208426","389999.985694885","18000000","","","","673219970.703125","468989990.234375","673219970.703125","468989990.234375","","","-270000.010728836","","","7710000.03814697","779999.971389771","259999.990463257","4360000.1335144","","2170000.07629395","7409999.84741211","","58.6","2.9","26.2448806762695","","135180000","95.0500030517578"
"Bulgaria","BGR","1989","","","","17.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.428230285645","0.990260004997253","",""
"Brunei Darussalam","BRN","1984","0","","","15.5","","","","3.71259901356788","","","639999.985694885","","","","","","","","","","","809999.985620379","9999.99977648258","","","","","1820000.05245209","810000.002384186","1820000.05245209","810000.002384186","","","","","","","","","","","","","","","","57.2123794555664","1.00146996974945","810000",""
"Central African Republic","CAF","1992","94250000","","","176.6","12.721745840037","101.448720964918","48.8200510681178","60.032384675127","90000.0035762787","21590000.1525879","20209999.0844727","","219999.998807907","","29999.9993294477","","","","","29999.9993294477","2160000.08583069","128509996.231645","79999.9982118607","3000000","50000","","","233539993.286133","177649993.896484","233539993.286133","177649993.896484","","","1899999.97615814","","","4800000.19073486","920000.016689301","1399999.97615814","2059999.94277954","","","4199999.80926514","","","5.9","23.3442401885986","0.628329992294312","51270000","91.7899971008301"
