"Country Name","Country Code","Year","average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Births attended by skilled health staff (% of total)","average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)"
"Africa Eastern and Southern","AFE","1987","","","133.15226701991","","","","","","","","","","","","","","","","","","","","","","6.44760559419689","53.1161473929114","49.545128414386","321.456381373278","399.222921578209","","","","","","","","","","","","","","","","","","49.5353949486577","41.8561812675556","",""
"Albania","ALB","1977","","","25.405","","","","","","","","","","","","","","","","","","","","","","3.966","71.046","67.943","108.946","144.162","","","","","","","","","","","","","","","","","","79.087492","73.3638","",""
"Albania","ALB","2019","","","19.5028","","","","","","","","","","","","","","","","","","","","","","1.597","80.201","77.002","49.088","92.179","","","85.3344192504883","","","","","95.6599273681641","","94.5851669311523","","73.3405303955078","46.9440383911133","","","67.1721572875977","","91.2997502","85.0858532","",""
"Armenia","ARM","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","AZE","2013","91.82654","95.28533","50.5596","99.9","8359","185","0","0","0","12.5984001159668","18.9983406066895","15.6605701446533","93.847770690918","97.4921722412109","95.5914993286133","26.1292591094971","34.2883415222168","30.033130645752","23.5852603912354","27.3356704711914","25.3797092437744","85.4826202392578","92.240837097168","88.7162094116211","1.98","74.683","68.84","88.155","171.228","99.9072036743164","95.0528182983398","90.1979904174805","100","98.29169","0.23481","0.22","","","","","22.6238193511963","20.3295402526855","45.87309","","","","82.9828526","71.209068","99.570182800293","99.5522384643555"
"Azerbaijan","AZE","2015","","","53.1988","99.8","","","0","0","0","12.5801801681519","19.0708408355713","15.6877899169922","93.8436737060547","97.5297393798828","95.6084899902344","26.0370693206787","34.4012107849121","30.0416603088379","23.5745391845703","27.4114894866943","25.411600112915","85.3666381835938","92.2558670043945","88.6650772094727","1.94","74.956","69.543","89.019","160.775","98.8409118652344","98.8605804443359","90.078369140625","99.07956","99.7006","0.1427","0.14356","","","","","27.4807796478271","23.6426391601563","45.57556","","","","83.3968858","72.79368","",""
"Burkina Faso","BFA","1993","22.70059","34.49254","144.379","41.5","603560","527434","","","","","","","","","","","","","","","","","","","6.917","50.534","48.046","301.388","363.839","","","24.4156398773193","42.96841","41.81973","16.91377","16.4611","","4.78067","","8.88949","0.494619995355606","1.66840004920959","33.92323","","","","47.3518328","41.069166","",""
"Bulgaria","BGR","1989","","","72.1374","99.3","","","","","","","","","","","","","","","","","","","","","1.9","75.19","68.42","95.634","217.849","81.4940338134766","83.7251892089844","","93.72681","93.36703","1.78985","3.77765","101.857818603516","","102.598823547363","","27.6326103210449","22.5000705718994","51.97224","48.57816","","38.27071","83.2587106","66.7951694","",""
"Belarus","BLR","1963","","","17.1628","","","","","","","","","","","","","","","","","","","","","","2.4","71.908","66.215","104.974","199.634","","","","","","","","","","","","","","","","","","78.2407578","65.6662696","",""
"Brunei Darussalam","BRN","1984","77.27961","76.42624","45.3538","","3603","3971","","","","","","","","","","","","","","","","","","","3.675","70.059","67.752","127.354","167.931","","","54.6546516418457","","","8.58398","11.71727","66.2680435180664","54.28311","61.6655006408691","48.49775","3.82402992248535","2.05128002166748","52.08726","51.22588","30.7606906890869","39.28305","74.000989","68.2837634","",""
